# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu Omega[rad/sec]
2.044420000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 6.566000000e-10 4.373470000e+12 3.443590000e+02 4.128740000e+04 8.340530000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645760000e-01 3.005720000e-02 2.471290000e-12 2.376650000e-12 4.847940000e-12 2.201800000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363590000e-06
2.202290000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 8.208000000e-10 4.059970000e+12 3.709490000e+02 4.128740000e+04 8.984570000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645760000e-01 3.320850000e-02 2.867680000e-12 3.047010000e-12 5.914690000e-12 2.432010000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363630000e-06
2.340280000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 9.849000000e-10 3.820570000e+12 3.941930000e+02 4.128740000e+04 9.547530000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645760000e-01 3.657670000e-02 3.238320000e-12 3.789800000e-12 7.028120000e-12 2.651060000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363650000e-06
2.575810000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.313300000e-09 3.471220000e+12 4.338650000e+02 4.128740000e+04 1.050840000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645760000e-01 4.217630000e-02 3.922960000e-12 5.293860000e-12 9.216820000e-12 3.035920000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363680000e-06
2.774710000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.641600000e-09 3.222400000e+12 4.673670000e+02 4.128740000e+04 1.131980000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645760000e-01 4.439630000e-02 4.552200000e-12 6.466330000e-12 1.101850000e-11 3.319420000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363690000e-06
2.948570000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.969900000e-09 3.032390000e+12 4.966510000e+02 4.128740000e+04 1.202910000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645760000e-01 4.734000000e-02 5.140550000e-12 7.786220000e-12 1.292680000e-11 3.595380000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363700000e-06
3.245320000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 2.626500000e-09 2.755110000e+12 5.466350000e+02 4.128740000e+04 1.323980000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645760000e-01 5.208060000e-02 6.227360000e-12 1.037690000e-11 1.660420000e-11 4.074830000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363710000e-06
3.495920000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 3.283100000e-09 2.557620000e+12 5.888450000e+02 4.128740000e+04 1.426210000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645760000e-01 5.257820000e-02 7.226230000e-12 1.215640000e-11 1.938260000e-11 4.402570000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363720000e-06
3.714970000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 3.939800000e-09 2.406810000e+12 6.257410000e+02 4.128740000e+04 1.515570000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645760000e-01 5.467080000e-02 8.160190000e-12 1.427380000e-11 2.243400000e-11 4.736460000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363720000e-06
4.088850000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 5.253000000e-09 2.186730000e+12 6.887170000e+02 4.128740000e+04 1.668100000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645760000e-01 5.812140000e-02 9.885410000e-12 1.838290000e-11 2.826830000e-11 5.316790000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363730000e-06
4.404580000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 6.566300000e-09 2.029980000e+12 7.418980000e+02 4.128740000e+04 1.796910000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645750000e-01 5.702490000e-02 1.147100000e-11 2.092900000e-11 3.240000000e-11 5.692100000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363730000e-06
4.680570000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 7.879500000e-09 1.910290000e+12 7.883840000e+02 4.128740000e+04 1.909500000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645750000e-01 5.839710000e-02 1.295360000e-11 2.420260000e-11 3.715620000e-11 6.095590000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363730000e-06
5.151630000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.050600000e-08 1.735610000e+12 8.677280000e+02 4.128740000e+04 2.101680000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645750000e-01 6.088420000e-02 1.569230000e-11 3.056810000e-11 4.626030000e-11 6.801500000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363730000e-06
5.549430000e-04 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.313250000e-08 1.611200000e+12 9.347310000e+02 4.128740000e+04 2.263960000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645750000e-01 5.882700000e-02 1.820930000e-11 3.427260000e-11 5.248190000e-11 7.244440000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.363730000e-06
5.897150000e-04 1.157200000e+07 8.658600000e+01 1.304000000e+17 1.575900000e-08 1.516200000e+12 9.933000000e+02 4.128740000e+04 2.405820000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645750000e-01 5.981420000e-02 2.056280000e-11 3.935150000e-11 5.991440000e-11 7.740440000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464730000e-01 3.363730000e-06
6.490650000e-04 1.157200000e+07 8.658600000e+01 1.304000000e+17 2.101200000e-08 1.377560000e+12 1.093270000e+03 4.128740000e+04 2.647940000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645750000e-01 6.183560000e-02 2.491030000e-11 4.928200000e-11 7.419220000e-11 8.613490000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255500000e+15 6.464730000e-01 3.363730000e-06
6.991850000e-04 1.157200000e+07 8.658600000e+01 1.304000000e+17 2.626500000e-08 1.278810000e+12 1.177690000e+03 4.128740000e+04 2.852410000e-02 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645740000e-01 5.937320000e-02 2.890600000e-11 5.490930000e-11 8.381530000e-11 9.155070000e-06 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255500000e+15 6.464730000e-01 3.363740000e-06
