# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu
3.600822400e-02 1.452200000e+07 1.212200000e+02 1.941900000e+17 4.142699856e-03 1.810630000e+10 8.754370000e+04 2.817180000e+04 3.107500000e+00 1.006480000e+00 9.692910000e-01 3.967270000e-01 3.338870000e-01 2.401830000e-01 2.945000000e-07 1.175170000e-06 1.469670000e-06 1.212300000e-03 0.000000000e+00 2.667000000e+08 1.665400000e+00 1.282200000e+00 2.402800000e+15 7.701530000e-01
3.680944700e-02 1.450200000e+07 1.207000000e+02 1.933700000e+17 4.416926220e-03 1.774890000e+10 8.931960000e+04 2.817180000e+04 3.170530000e+00 1.006450000e+00 9.693460000e-01 3.967310000e-01 3.339660000e-01 2.249860000e-01 3.061770000e-07 1.145810000e-06 1.451990000e-06 1.204980000e-03 0.000000000e+00 2.671300000e+08 1.665400000e+00 1.284200000e+00 2.403000000e+15 7.689340000e-01
3.815441600e-02 1.447600000e+07 1.200600000e+02 1.923700000e+17 4.902730333e-03 1.718310000e+10 9.227700000e+04 2.817180000e+04 3.275510000e+00 1.006410000e+00 9.694150000e-01 3.967350000e-01 3.340980000e-01 2.239700000e-01 3.260870000e-07 1.217090000e-06 1.543180000e-06 1.242250000e-03 0.000000000e+00 2.676600000e+08 1.665400000e+00 1.286700000e+00 2.403200000e+15 7.674380000e-01
3.941717400e-02 1.445000000e+07 1.194000000e+02 1.913300000e+17 5.388534445e-03 1.668860000e+10 9.502650000e+04 2.817180000e+04 3.373110000e+00 1.006360000e+00 9.694850000e-01 3.967400000e-01 3.342210000e-01 2.224480000e-01 3.451280000e-07 1.281600000e-06 1.626730000e-06 1.275430000e-03 0.000000000e+00 2.682100000e+08 1.665400000e+00 1.289200000e+00 2.403300000e+15 7.659050000e-01
4.076178700e-02 1.442300000e+07 1.187400000e+02 1.902700000e+17 5.938180281e-03 1.619720000e+10 9.792460000e+04 2.817180000e+04 3.475980000e+00 1.006320000e+00 9.695570000e-01 3.967450000e-01 3.343220000e-01 2.199660000e-01 3.659040000e-07 1.345450000e-06 1.711350000e-06 1.308190000e-03 0.000000000e+00 2.687600000e+08 1.665400000e+00 1.291900000e+00 2.403500000e+15 7.643480000e-01
4.202997000e-02 1.440000000e+07 1.181600000e+02 1.893500000e+17 6.487826116e-03 1.576410000e+10 1.006300000e+05 2.817180000e+04 3.572000000e+00 1.006280000e+00 9.696190000e-01 3.967490000e-01 3.343930000e-01 2.210330000e-01 3.859520000e-07 1.427340000e-06 1.813290000e-06 1.346580000e-03 0.000000000e+00 2.692500000e+08 1.665400000e+00 1.294200000e+00 2.403600000e+15 7.629870000e-01
4.299190400e-02 1.437900000e+07 1.176600000e+02 1.885600000e+17 6.925340768e-03 1.545370000e+10 1.026630000e+05 2.817180000e+04 3.644170000e+00 1.006250000e+00 9.696730000e-01 3.967520000e-01 3.344360000e-01 2.221610000e-01 4.014250000e-07 1.495780000e-06 1.897210000e-06 1.377390000e-03 0.000000000e+00 2.696700000e+08 1.665400000e+00 1.296200000e+00 2.403600000e+15 7.618000000e-01
4.391643500e-02 1.435400000e+07 1.170300000e+02 1.875600000e+17 7.362855421e-03 1.516870000e+10 1.046010000e+05 2.817180000e+04 3.712980000e+00 1.006210000e+00 9.697410000e-01 3.967570000e-01 3.344660000e-01 2.133740000e-01 4.165480000e-07 1.488220000e-06 1.904770000e-06 1.380130000e-03 0.000000000e+00 2.702000000e+08 1.665400000e+00 1.298700000e+00 2.403600000e+15 7.603550000e-01
4.531789200e-02 1.432300000e+07 1.162900000e+02 1.863700000e+17 8.058353428e-03 1.475970000e+10 1.075110000e+05 2.817180000e+04 3.816260000e+00 1.006160000e+00 9.698220000e-01 3.967620000e-01 3.344880000e-01 2.141780000e-01 4.399190000e-07 1.577740000e-06 2.017660000e-06 1.420440000e-03 0.000000000e+00 2.708200000e+08 1.665400000e+00 1.301800000e+00 2.403600000e+15 7.586300000e-01
4.664583600e-02 1.428500000e+07 1.153800000e+02 1.849000000e+17 8.753851435e-03 1.439650000e+10 1.102350000e+05 2.817180000e+04 3.912950000e+00 1.006100000e+00 9.699220000e-01 3.967680000e-01 3.344900000e-01 2.149480000e-01 4.625290000e-07 1.664250000e-06 2.126770000e-06 1.458350000e-03 0.000000000e+00 2.716000000e+08 1.665400000e+00 1.305600000e+00 2.403700000e+15 7.564870000e-01
